# BJD-2454000 Mag Magerr KcMag KcMagerr
2078.8435592837632 12.3304615020752 4.5140186557546e-04 12.2922334671021 4.7293858369812e-04
2078.8442404163070 12.3298616409302 4.5119965216145e-04 12.2916164398193 4.7267944319174e-04
2078.8449216485023 12.3308258056641 4.5163134927861e-04 12.2926139831543 4.7310683294199e-04
2078.8456027805805 12.3300867080688 4.5135457185097e-04 12.2918519973755 4.7277056728490e-04
2078.8462839126587 12.3297843933105 4.5125989709049e-04 12.2915420532227 4.7263229498640e-04
2078.8469651448540 12.3294801712036 4.5116458204575e-04 12.2912311553955 4.7249466297217e-04
2078.8476462773979 12.3302898406982 4.5153219252825e-04 12.2920646667480 4.7285814071074e-04
2078.8483273093589 12.3299636840820 4.5142858289182e-04 12.2917327880859 4.7271460061893e-04
2078.8490084419027 12.3303670883179 4.5162782771513e-04 12.2921485900879 4.7289961366914e-04
2078.8496896740980 12.3300247192383 4.5151723315939e-04 12.2917976379395 4.7275194083340e-04
2078.8503708061762 12.3301954269409 4.5162046444602e-04 12.2919759750366 4.7283686581068e-04
2078.8510519382544 12.3304338455200 4.5175151899457e-04 12.2922229766846 4.7295383410528e-04
2078.8517331704497 12.3299102783203 4.5156653504819e-04 12.2916851043701 4.7273165546358e-04
2078.8524143029936 12.3299407958984 4.5161147136241e-04 12.2917175292969 4.7275974065997e-04
2078.8530954350717 12.3302373886108 4.5176738058217e-04 12.2920236587524 4.7290982911363e-04
2078.8537765671499 12.3307037353516 4.5199462329037e-04 12.2925062179565 4.7313910908997e-04
2078.8544576996937 12.3301525115967 4.5179825974628e-04 12.2919397354126 4.7291378723457e-04
2078.8551388317719 12.3300704956055 4.5179741573520e-04 12.2918567657471 4.7290191287175e-04
2078.8558200639673 12.3301134109497 4.5184863847680e-04 12.2919015884399 4.7294871183112e-04
2078.8565011960454 12.3305997848511 4.5208496158011e-04 12.2924051284790 4.7319784061983e-04
2078.8571823285893 12.3290700912476 4.5148213393986e-04 12.2908306121826 4.7254466335289e-04
2078.8578634606674 12.3303442001343 4.5204645721242e-04 12.2921447753906 4.7315322444774e-04
2078.8585446928628 12.3307485580444 4.5224625500850e-04 12.2925624847412 4.7337185242213e-04
2078.8592257252894 12.3309583663940 4.5236264122650e-04 12.2927799224854 4.7350363456644e-04
2078.8599068573676 12.3306465148926 4.5226185466163e-04 12.2924594879150 4.7340398305096e-04
2078.8605880895630 12.3303165435791 4.5215402496979e-04 12.2921218872070 4.7329961671494e-04
2078.8612692216411 12.3305053710938 4.5217422302812e-04 12.2923164367676 4.7334196278825e-04
2078.8619503541850 12.3296489715576 4.5175993000157e-04 12.2914352416992 4.7291829832830e-04
2078.8626315863803 12.3288497924805 4.5136961853132e-04 12.2906131744385 4.7252298099920e-04
2078.8633127184585 12.3304719924927 4.5198731822893e-04 12.2922868728638 4.7321754391305e-04
2078.8639938510023 12.3310241699219 4.5215926365927e-04 12.2928552627563 4.7343372716568e-04
2078.8646748829633 12.3327636718750 4.5282728387974e-04 12.2946510314941 4.7418737085536e-04
2078.8653561151586 12.3305282592773 4.5183891779743e-04 12.2923479080200 4.7315569827333e-04
2078.8660372472368 12.3300228118896 4.5157162821852e-04 12.2918281555176 4.7290418297052e-04
2078.8667184794322 12.3302268981934 4.5159953879192e-04 12.2920379638672 4.7297330456786e-04
2078.8673996119760 12.3301086425781 4.5149397919886e-04 12.2919178009033 4.7290022484958e-04
2078.8680807440542 12.3295526504517 4.5120692811906e-04 12.2913465499878 4.7263293527067e-04
